iter	Logloss
0	0.5722930666
1	0.5017984028
2	0.4555692949
3	0.4294322264
4	0.409385525
5	0.3960083306
6	0.3862276662
7	0.3795462307
8	0.3747815811
9	0.3706722172
10	0.3683158662
11	0.36590957
12	0.3637912837
13	0.362207664
14	0.3605919894
15	0.3594558812
16	0.3583865182
17	0.3576065021
18	0.3569594365
19	0.3562146618
20	0.3556376025
21	0.3551986198
22	0.3547731404
23	0.3542331255
24	0.3538874903
25	0.3536200263
26	0.3533531158
27	0.3530777334
28	0.3528745037
29	0.3526202038
30	0.3524968081
31	0.3523496351
32	0.3520669461
33	0.3519150257
34	0.3516796523
35	0.3515856938
36	0.3514867593
37	0.3513150862
38	0.3512050139
39	0.3510285939
40	0.3509589213
41	0.3508525305
42	0.3506875429
43	0.3505460285
44	0.3504896084
45	0.3504171678
46	0.3503347906
47	0.3502619338
48	0.3500947548
49	0.349918246
50	0.3497406845
51	0.3496952675
52	0.3496222803
53	0.349515112
54	0.3494620044
55	0.349401421
56	0.3493658734
57	0.3492532651
58	0.3492010041
59	0.3491266136
60	0.3490668973
61	0.3490345939
62	0.3489808088
63	0.3489397076
64	0.3489136651
65	0.3488679747
66	0.3488370806
67	0.3487998057
68	0.3486416297
69	0.3486218093
70	0.3486001385
71	0.3484503013
72	0.3484067506
73	0.3482265521
74	0.348200627
75	0.3481310633
76	0.3481052612
77	0.3480670734
78	0.3480216857
79	0.3479094274
80	0.3478926894
81	0.3478296469
82	0.3477879228
83	0.3477237802
84	0.3475351825
85	0.3474508097
86	0.3474238802
87	0.3473939282
88	0.3473181183
89	0.3473012362
90	0.3471918921
91	0.3471660187
92	0.3470904618
93	0.3468785575
94	0.3468401549
95	0.3467640584
96	0.3467347488
97	0.3465906891
98	0.3464313448
99	0.3464091598
100	0.3463505045
101	0.3463118753
102	0.3461964132
103	0.3460460808
104	0.3460184373
105	0.3459799372
106	0.3459336286
107	0.3458287148
108	0.3457266864
109	0.3456442746
110	0.3456146939
111	0.3455304315
112	0.3454018862
113	0.3453634505
114	0.3453383412
115	0.345282248
116	0.3452371642
117	0.3451749474
118	0.3451547163
119	0.3451144824
120	0.3450283502
121	0.3448960181
122	0.3447638826
123	0.3447367969
124	0.3446983568
125	0.3446709913
126	0.3445854946
127	0.3445536402
128	0.3444396934
129	0.3444130661
130	0.3443949413
131	0.3443748426
132	0.3443144324
133	0.3442725696
134	0.3442400627
135	0.3442169652
136	0.3441867019
137	0.344141439
138	0.3440820577
139	0.3440595963
140	0.3438811928
141	0.3437452273
142	0.3437160112
143	0.3436687698
144	0.3435074059
145	0.3434686473
146	0.3433288204
147	0.343305777
148	0.3432709178
149	0.3432531087
150	0.3432303835
151	0.3431970093
152	0.343177748
153	0.3431443718
154	0.3430590994
155	0.3430297558
156	0.3430124415
157	0.3429890481
158	0.3429580081
159	0.3429354829
160	0.3428556763
161	0.3427119626
162	0.3426176266
163	0.3425290442
164	0.3424692333
165	0.3423422215
166	0.3422854158
167	0.3421828564
168	0.3420440036
169	0.3420185594
170	0.3419526926
171	0.3418559956
172	0.3418131956
173	0.3417713833
174	0.3417324783
175	0.3416898599
176	0.3416729978
177	0.3415690571
178	0.3415467225
179	0.3415235798
180	0.3415049343
181	0.341486338
182	0.3414665554
183	0.3414382059
184	0.3414162159
185	0.3413269251
186	0.3412894413
187	0.3412488629
188	0.341230837
189	0.3411884862
190	0.341134165
191	0.3411179304
192	0.3411044705
193	0.3410823599
194	0.3410419663
195	0.3409970997
196	0.3409338086
197	0.3408962829
198	0.3408739906
199	0.3408566018
200	0.3408255413
201	0.3408113003
202	0.3407982174
203	0.3407777498
204	0.3407429155
205	0.3407176958
206	0.3406995506
207	0.3406050107
208	0.340586639
209	0.34056106
210	0.3405431155
211	0.3404753147
212	0.3404508071
213	0.3403379049
214	0.3402514796
215	0.3402372049
216	0.3401777994
217	0.3401635651
218	0.3401052945
219	0.3400827138
220	0.3400603635
221	0.339980551
222	0.339968895
223	0.339954144
224	0.3399298331
225	0.3399076523
226	0.3398607118
227	0.3397943392
228	0.3397597514
229	0.3397316506
230	0.3397147698
231	0.3396986767
232	0.3396730067
233	0.3396593247
234	0.3396460347
235	0.3395905345
236	0.3395734208
237	0.3395263581
238	0.3395055117
239	0.3394327975
240	0.3393350225
241	0.3393188919
242	0.3392800739
243	0.3392550541
244	0.339242222
245	0.3392295698
246	0.3392144859
247	0.3391994665
248	0.3391780127
249	0.3391249283
250	0.3391134493
251	0.3390954809
252	0.3390642966
253	0.3390516168
254	0.3390343404
255	0.3390054291
256	0.3389905502
257	0.3389641219
258	0.3389458329
259	0.3389175925
260	0.3388802657
261	0.3388470175
262	0.338787875
263	0.3387753633
264	0.3387596733
265	0.3387016088
266	0.3386829188
267	0.3386202947
268	0.3385982803
269	0.3385444461
270	0.338459362
271	0.3384205954
272	0.3384062824
273	0.3383945021
274	0.3383790363
275	0.3383639375
276	0.3383060679
277	0.3382904381
278	0.3382762417
279	0.3382433397
280	0.3382021368
281	0.3381844976
282	0.3381743978
283	0.3381528013
284	0.3381368394
285	0.3381194888
286	0.3381032189
287	0.3380766798
288	0.3380542074
289	0.3380014039
290	0.3379691499
291	0.3379475334
292	0.3379360869
293	0.3379070522
294	0.3378939828
295	0.3378827749
296	0.3378451314
297	0.3378329234
298	0.337806288
299	0.337790527
300	0.3377758119
301	0.3377560977
302	0.3376836087
303	0.3376597485
304	0.3376395487
305	0.3376231864
306	0.337608668
307	0.337587691
308	0.3375769533
309	0.3375628307
310	0.3375494666
311	0.3375205426
312	0.3375094684
313	0.3374932988
314	0.3374718803
315	0.3374131133
316	0.337387547
317	0.3373744637
318	0.3373641743
319	0.3373490804
320	0.3372732689
321	0.3372428058
322	0.3371226148
323	0.337066098
324	0.3370545469
325	0.3370345416
326	0.3370258576
327	0.3370109252
328	0.3369497073
329	0.3369273872
330	0.3369121357
331	0.3368755766
332	0.3368536209
333	0.336838252
334	0.3368182653
335	0.3367765744
336	0.3367635855
337	0.3367482243
338	0.3367335188
339	0.3367201239
340	0.3367066651
341	0.3366833713
342	0.336666726
343	0.3366334496
344	0.3366223241
345	0.3365964345
346	0.3365729212
347	0.3364825547
348	0.3364647714
349	0.3364366159
350	0.3364229326
351	0.3364102047
352	0.3363996593
353	0.3363831378
354	0.3363654023
355	0.3362797162
356	0.3362642432
357	0.3362444628
358	0.3362332484
359	0.3362204166
360	0.3361826459
361	0.3361306476
362	0.3360386773
363	0.3360233122
364	0.3359876092
365	0.3359728275
366	0.3359586225
367	0.3359356255
368	0.3359044499
369	0.3358938894
370	0.3358829925
371	0.3358655011
372	0.3358537399
373	0.3358388843
374	0.3358252776
375	0.3358156538
376	0.3358059395
377	0.3357920954
378	0.3357769619
379	0.335758741
380	0.3357046717
381	0.3356768455
382	0.3356570794
383	0.3356158012
384	0.3355925796
385	0.3355811838
386	0.3355686162
387	0.3355592657
388	0.3355391431
389	0.3354937773
390	0.3354813501
391	0.3354709288
392	0.3354498302
393	0.3354229239
394	0.3354076714
395	0.3353710464
396	0.3353538547
397	0.3353033112
398	0.3352916925
399	0.3352826756
400	0.3352734751
401	0.3352536303
402	0.3352398666
403	0.3352197782
404	0.3352058405
405	0.3351934655
406	0.3351326793
407	0.3351173238
408	0.3351048777
409	0.3350942843
410	0.3350854774
411	0.3350776639
412	0.3350685596
413	0.335059736
414	0.3350400226
415	0.3350038964
416	0.3349831128
417	0.3349669538
418	0.3349513481
419	0.3349408699
420	0.3349277662
421	0.3349162584
422	0.3349094493
423	0.3348979706
424	0.3348772442
425	0.3348576911
426	0.3348423914
427	0.3348311196
428	0.334815009
429	0.3348062206
430	0.3347940903
431	0.33477934
432	0.3347688467
433	0.3347580913
434	0.3347198303
435	0.334693608
436	0.3346853099
437	0.3346602223
438	0.334653056
439	0.3346409759
440	0.3346322358
441	0.3346218913
442	0.3346129829
443	0.3345841732
444	0.3345707888
445	0.3345399257
446	0.334519806
447	0.334498503
448	0.3344572351
449	0.3344442801
450	0.3344075233
451	0.3343565675
452	0.3343113792
453	0.3342975512
454	0.3342843917
455	0.3342181293
456	0.3342083567
457	0.334155497
458	0.3340987355
459	0.3340883724
460	0.3340800541
461	0.3340707493
462	0.3340619054
463	0.3340509603
464	0.3340427551
465	0.3340345575
466	0.3340133834
467	0.3339587327
468	0.3339501401
469	0.3339371475
470	0.333925481
471	0.3339144033
472	0.333900211
473	0.3338841828
474	0.3338718972
475	0.3338624813
476	0.3338264567
477	0.3338167653
478	0.3338070572
479	0.3337819214
480	0.3337630158
481	0.3337499997
482	0.3337361844
483	0.3337276034
484	0.3337126719
485	0.3336978439
486	0.3336833336
487	0.3336713137
488	0.3336585505
489	0.3336511785
490	0.3336431593
491	0.3336326479
492	0.3336135098
493	0.3336008931
494	0.3335884555
495	0.333576937
496	0.3335637615
497	0.3335530594
498	0.3335166507
499	0.3334689675
500	0.3334545524
501	0.3334293523
502	0.3334199267
503	0.3334105183
504	0.3333675927
505	0.3333464883
506	0.3333331152
507	0.333317452
508	0.3333069763
509	0.3332986708
510	0.3332475866
511	0.3332372779
512	0.3332017132
513	0.3331878064
514	0.3331780279
515	0.3331644969
516	0.3331581006
517	0.3331495118
518	0.3331354799
519	0.3331269444
520	0.3331137662
521	0.3330778382
522	0.3330665448
523	0.3330346089
524	0.3330257952
525	0.3330185003
526	0.3329998879
527	0.3329901671
528	0.3329796031
529	0.3329676351
530	0.3329531084
531	0.3329432271
532	0.3329325232
533	0.3329178763
534	0.3329113189
535	0.3329016975
536	0.3328886129
537	0.3328794899
538	0.332867146
539	0.3328519491
540	0.3328370655
541	0.3328270673
542	0.3328009869
543	0.3327915815
544	0.3327842212
545	0.3327660791
546	0.3327338619
547	0.332706513
548	0.3326995531
549	0.3326898273
550	0.3326760593
551	0.332667056
552	0.332656654
553	0.3326459904
554	0.332631408
555	0.3326180699
556	0.3326055782
557	0.3325920755
558	0.3325648788
559	0.3325532597
560	0.332545917
561	0.332506844
562	0.3324746644
563	0.3324524841
564	0.3324429738
565	0.3324369522
566	0.3324280325
567	0.3324192924
568	0.3324077411
569	0.3324017679
570	0.3323933086
571	0.3323641967
572	0.3323544161
573	0.3323446436
574	0.3323010033
575	0.33229384
576	0.3322817788
577	0.3322636216
578	0.3322514682
579	0.332241768
580	0.3322295195
581	0.3322110515
582	0.3321994783
583	0.332170546
584	0.3321626667
585	0.3321490855
586	0.3321382809
587	0.3321253498
588	0.3321152483
589	0.3321098458
590	0.3320988832
591	0.3320823661
592	0.3320722851
593	0.3320604211
594	0.3320499646
595	0.3320401278
596	0.3320342479
597	0.3320250855
598	0.3320158097
599	0.3319747109
600	0.3319623201
601	0.331953816
602	0.3319427837
603	0.3319303767
604	0.3319194119
605	0.3319088781
606	0.3318973043
607	0.3318871324
608	0.3318719871
609	0.3318611438
610	0.3318538852
611	0.3318401535
612	0.3318321658
613	0.3318208364
614	0.3317972069
615	0.3317824423
616	0.3317741797
617	0.3317597177
618	0.3317552627
619	0.3317428427
620	0.3317340356
621	0.331720821
622	0.331710945
623	0.3316990427
624	0.3316870088
625	0.3316814854
626	0.3316695076
627	0.3316538731
628	0.3316462962
629	0.3316369577
630	0.3316239956
631	0.3316111637
632	0.3315991819
633	0.3315867705
634	0.3315620888
635	0.3315528223
636	0.3315392818
637	0.3315324163
638	0.331516393
639	0.3315061584
640	0.3314975788
641	0.3314866402
642	0.3314671978
643	0.3314586649
644	0.3314506516
645	0.3314346319
646	0.3314241921
647	0.331415113
648	0.33138373
649	0.331369278
650	0.3313561102
651	0.3313468522
652	0.3313160422
653	0.331291433
654	0.3312751332
655	0.3312665814
656	0.3312540713
657	0.3312453828
658	0.331235061
659	0.3312209558
660	0.331214119
661	0.3312010145
662	0.3311941677
663	0.3311825754
664	0.3311646062
665	0.3311564775
666	0.3311425413
667	0.3311355254
668	0.3311152723
669	0.3311050135
670	0.3310909187
671	0.3310851883
672	0.3310664125
673	0.3310606912
674	0.3310249019
675	0.3310193328
676	0.3310076762
677	0.3309999125
678	0.3309909543
679	0.3309811743
680	0.3309722799
681	0.3309564752
682	0.3309402778
683	0.3309308411
684	0.3309217441
685	0.3309096275
686	0.3309004638
687	0.3308918033
688	0.3308841697
689	0.330875307
690	0.3308676435
691	0.3308616965
692	0.3308408849
693	0.3308339824
694	0.330821276
695	0.3308105284
696	0.3307991323
697	0.3307921442
698	0.3307692781
699	0.3307555195
700	0.3307478291
701	0.3307381686
702	0.3307272419
703	0.3307160645
704	0.3307067505
705	0.3306949622
706	0.3306873928
707	0.3306762317
708	0.3306648555
709	0.3306496516
710	0.3306442772
711	0.3306374432
712	0.330625531
713	0.3306179093
714	0.3306104341
715	0.3306033622
716	0.330595116
717	0.3305865062
718	0.3305810952
719	0.3305716512
720	0.3305606964
721	0.3305532789
722	0.3305441489
723	0.3305338583
724	0.3305136156
725	0.3305043909
726	0.3304859524
727	0.3304626094
728	0.3304535459
729	0.330445608
730	0.3304346144
731	0.3304233135
732	0.3304131751
733	0.3304015023
734	0.3303936066
735	0.3303803188
736	0.3303706308
737	0.3303577415
738	0.330346674
739	0.3303404766
740	0.3303166073
741	0.3302979804
742	0.3302855796
743	0.3302782451
744	0.3302585496
745	0.3302503716
746	0.3302206871
747	0.3302015538
748	0.330185695
749	0.3301782592
750	0.3301726226
751	0.3301641444
752	0.3301545967
753	0.3301438012
754	0.3301338386
755	0.3301149673
756	0.3301058716
757	0.3300998321
758	0.330078851
759	0.3300693977
760	0.3300590444
761	0.3300467392
762	0.3300374303
763	0.3300249446
764	0.3300123388
765	0.3299993855
766	0.3299868549
767	0.3299813783
768	0.3299705453
769	0.3299630989
770	0.3299562107
771	0.3299489991
772	0.3299411869
773	0.329933991
774	0.3299222787
775	0.3299105179
776	0.3299020775
777	0.3298939497
778	0.3298876944
779	0.3298777546
780	0.3298665535
781	0.3298542938
782	0.3298468816
783	0.3298370257
784	0.329823838
785	0.32981339
786	0.3298014417
787	0.3297819058
788	0.3297703259
789	0.3297558077
790	0.3297464577
791	0.3297364619
792	0.3297274665
793	0.3297183418
794	0.3297075556
795	0.329694989
796	0.3296746068
797	0.3296639347
798	0.3296553572
799	0.3296388306
800	0.329628065
801	0.329613797
802	0.3296059831
803	0.3295976427
804	0.3295867544
805	0.3295808482
806	0.3295743948
807	0.3295653504
808	0.3295545653
809	0.3295468185
810	0.3295380114
811	0.3295324205
812	0.329524448
813	0.3295138121
814	0.3294872597
815	0.3294801031
816	0.3294507855
817	0.3294413524
818	0.3294330731
819	0.329425757
820	0.3294069272
821	0.3293908709
822	0.3293827122
823	0.3293744933
824	0.3293657243
825	0.3293561571
826	0.329351628
827	0.3293394793
828	0.3293204214
829	0.3292975182
830	0.3292865828
831	0.3292781347
832	0.3292682692
833	0.3292598858
834	0.329249457
835	0.3292288621
836	0.3292231111
837	0.3292167481
838	0.3292088986
839	0.3292001853
840	0.329190593
841	0.3291768149
842	0.3291686275
843	0.3291557668
844	0.3291453835
845	0.3291387619
846	0.3291270949
847	0.3291143122
848	0.3291079354
849	0.3290998301
850	0.3290940244
851	0.329088997
852	0.3290825549
853	0.3290697731
854	0.3290617899
855	0.3290569035
856	0.3290470944
857	0.3290377881
858	0.329028931
859	0.3290205761
860	0.3290146881
861	0.3290056103
862	0.3289968604
863	0.3289875148
864	0.3289779207
865	0.3289677723
866	0.3289556037
867	0.3289423024
868	0.3289290344
869	0.3289216936
870	0.3289095042
871	0.3288998066
