iter	Passed	Remaining
0	59	88942
1	112	83949
2	164	82281
3	217	81248
4	268	80283
5	324	80851
6	375	80161
7	423	78893
8	478	79281
9	561	83628
10	632	85677
11	683	84734
12	731	83658
13	783	83175
14	836	82831
15	881	81720
16	933	81393
17	981	80822
18	1028	80159
19	1081	80052
20	1127	79400
21	1176	79020
22	1225	78724
23	1278	78604
24	1327	78319
25	1377	78068
26	1427	77903
27	1478	77727
28	1529	77573
29	1585	77687
30	1635	77507
31	1682	77176
32	1733	77046
33	1784	76930
34	1834	76787
35	1881	76520
36	1928	76248
37	1971	75834
38	2018	75626
39	2069	75541
40	2121	75482
41	2167	75237
42	2215	75071
43	2267	75049
44	2316	74898
45	2365	74783
46	2416	74706
47	2465	74594
48	2518	74574
49	2569	74512
50	2619	74426
51	2662	74144
52	2710	74006
53	2762	73964
54	2809	73802
55	2854	73617
56	2905	73548
57	2954	73446
58	2998	73234
59	3048	73172
60	3092	72959
61	3139	72812
62	3192	72819
63	3245	72830
64	3295	72765
65	3339	72561
66	3382	72348
67	3433	72295
68	3482	72232
69	3530	72129
70	3578	72018
71	3629	71991
72	3671	71779
73	3723	71743
74	3769	71623
75	3814	71474
76	3857	71287
77	3908	71250
78	3951	71080
79	4000	71014
80	4050	70958
81	4096	70832
82	4147	70804
83	4195	70729
84	4241	70602
85	4291	70564
86	4344	70563
87	4394	70508
88	4442	70432
89	4492	70385
90	4535	70227
91	4578	70065
92	4622	69930
93	4668	69824
94	4717	69762
95	4758	69591
96	4806	69522
97	4854	69447
98	4897	69304
99	4939	69155
100	4984	69047
101	5035	69015
102	5085	68981
103	5131	68884
104	5173	68730
105	5218	68630
106	5267	68582
107	5321	68593
108	5370	68535
109	5421	68509
110	5465	68387
111	5510	68290
112	5558	68222
113	5607	68179
114	5650	68052
115	5697	67980
116	5745	67913
117	5786	67772
118	5827	67629
119	5876	67585
120	5928	67569
121	5981	67562
122	6038	67596
123	6083	67503
124	6123	67356
125	6167	67253
126	6210	67139
127	6262	67123
128	6314	67110
129	6363	67066
130	6415	67046
131	6456	66908
132	6509	66904
133	6560	66875
134	6608	66824
135	6658	66782
136	6703	66696
137	6753	66649
138	6797	66557
139	6850	66545
140	6902	66523
141	6945	66425
142	6997	66401
143	7049	66387
144	7095	66308
145	7148	66292
146	7198	66259
147	7247	66206
148	7292	66120
149	7334	66006
150	7384	65975
151	7428	65880
152	7472	65785
153	7516	65696
154	7569	65681
155	7613	65594
156	7660	65526
157	7710	65491
158	7762	65465
159	7810	65416
160	7862	65391
161	7913	65357
162	7963	65323
163	8017	65314
164	8068	65284
165	8119	65247
166	8168	65204
167	8220	65178
168	8272	65151
169	8322	65114
170	8373	65075
171	8423	65041
172	8473	64993
173	8520	64930
174	8566	64863
175	8616	64817
176	8665	64769
177	8713	64712
178	8763	64670
179	8808	64598
180	8858	64553
181	8904	64483
182	8946	64386
183	8994	64332
184	9036	64234
185	9089	64214
186	9139	64170
187	9183	64092
188	9232	64043
189	9288	64038
190	9339	64004
191	9391	63982
192	9441	63935
193	9485	63854
194	9533	63802
195	9582	63750
196	9634	63723
197	9684	63685
198	9735	63647
199	9785	63605
200	9826	63505
201	9877	63470
202	9926	63421
203	9975	63373
204	10021	63309
205	10069	63250
206	10116	63188
207	10162	63125
208	10208	63055
209	10273	63109
210	10322	63062
211	10369	62997
212	10419	62958
213	10485	63008
214	10570	63179
215	10620	63130
216	10673	63108
217	10721	63047
218	10761	62949
219	10811	62903
220	10859	62844
221	10903	62769
222	10954	62731
223	11005	62692
224	11052	62628
225	11102	62584
226	11152	62542
227	11196	62464
228	11238	62377
229	11289	62335
230	11331	62251
231	11377	62185
232	11426	62135
233	11474	62080
234	11518	62005
235	11569	61968
236	11626	61958
237	11671	61890
238	11717	61822
239	11766	61776
240	11814	61717
241	11859	61649
242	11903	61572
243	11953	61531
244	11999	61467
245	12047	61412
246	12089	61330
247	12137	61274
248	12185	61221
249	12241	61209
250	12292	61166
251	12344	61135
252	12394	61092
253	12444	61048
254	12493	60999
255	12546	60967
256	12592	60905
257	12643	60863
258	12688	60798
259	12740	60761
260	12792	60727
261	12843	60687
262	12894	60650
263	12938	60575
264	12990	60541
265	13045	60520
266	13097	60485
267	13152	60461
268	13206	60434
269	13255	60385
270	13306	60347
271	13350	60275
272	13400	60227
273	13449	60180
274	13497	60123
275	13547	60081
276	13595	60025
277	13638	59952
278	13690	59912
279	13742	59876
280	13793	59838
281	13844	59796
282	13892	59744
283	13944	59706
284	13991	59646
285	14038	59589
286	14082	59518
287	14135	59486
288	14179	59417
289	14227	59364
290	14282	59336
291	14329	59281
292	14373	59210
293	14416	59136
294	14465	59089
295	14515	59041
296	14558	58969
297	14612	58939
298	14666	58909
299	14709	58836
300	14755	58775
301	14797	58700
302	14847	58653
303	14899	58617
304	14951	58578
305	14997	58518
306	15044	58461
307	15089	58399
308	15140	58356
309	15198	58342
310	15247	58293
311	15296	58245
312	15345	58195
313	15395	58150
314	15443	58097
315	15493	58052
316	15547	58021
317	15600	57986
318	15650	57941
319	15695	57877
320	15741	57815
321	15790	57767
322	15840	57720
323	15885	57656
324	15931	57600
325	15979	57547
326	16029	57499
327	16079	57453
328	16128	57406
329	16179	57363
330	16225	57302
331	16277	57264
332	16328	57222
333	16372	57157
334	16421	57109
335	16468	57050
336	16519	57008
337	16571	56970
338	16623	56932
339	16675	56892
340	16726	56849
341	16774	56797
342	16823	56748
343	16868	56686
344	16912	56619
345	16957	56556
346	17001	56493
347	17051	56446
348	17106	56417
349	17157	56373
350	17207	56329
351	17251	56263
352	17300	56214
353	17341	56140
354	17393	56100
355	17441	56049
356	17487	55990
357	17542	55958
358	17596	55926
359	17647	55882
360	17692	55821
361	17736	55758
362	17787	55715
363	17840	55678
364	17888	55626
365	17931	55556
366	17976	55496
367	18020	55432
368	18070	55388
369	18115	55325
370	18157	55257
371	18207	55209
372	18254	55155
373	18304	55108
374	18357	55071
375	18406	55024
376	18457	54981
377	18508	54937
378	18559	54894
379	18607	54843
380	18654	54789
381	18701	54732
382	18748	54678
383	18791	54613
384	18839	54560
385	18885	54504
386	18938	54465
387	18989	54423
388	19036	54369
389	19088	54327
390	19135	54274
391	19178	54208
392	19224	54150
393	19277	54113
394	19328	54071
395	19375	54017
396	19426	53973
397	19474	53922
398	19525	53878
399	19576	53836
400	19621	53775
401	19669	53725
402	19723	53688
403	19774	53646
404	19828	53611
405	19874	53554
406	19921	53497
407	19971	53453
408	20023	53412
409	20069	53354
410	20110	53285
411	20160	53240
412	20207	53184
413	20262	53151
414	20321	53129
415	20366	53071
416	20416	53025
417	20506	53080
418	20568	53065
419	20620	53023
420	20662	52956
421	20712	52910
422	20758	52852
423	20803	52794
424	20851	52740
425	20899	52690
426	20945	52632
427	20985	52561
428	21035	52514
429	21085	52467
430	21132	52413
431	21175	52350
432	21222	52297
433	21273	52253
434	21320	52197
435	21365	52138
436	21416	52095
437	21466	52050
438	21516	52001
439	21564	51950
440	21615	51905
441	21665	51859
442	21715	51813
443	21765	51766
444	21816	51722
445	21867	51678
446	21914	51624
447	21963	51575
448	22009	51519
449	22054	51460
450	22104	51413
451	22152	51363
452	22202	51314
453	22248	51260
454	22298	51212
455	22349	51168
456	22390	51101
457	22441	51056
458	22491	51009
459	22541	50963
460	22588	50909
461	22641	50869
462	22691	50822
463	22742	50777
464	22795	50739
465	22845	50690
466	22895	50645
467	22949	50606
468	23009	50580
469	23063	50543
470	23117	50504
471	23164	50451
472	23217	50410
473	23266	50362
474	23320	50322
475	23364	50263
476	23415	50217
477	23465	50171
478	23510	50113
479	23562	50071
480	23610	50018
481	23660	49970
482	23712	49927
483	23764	49886
484	23816	49843
485	23869	49802
486	23922	49760
487	23975	49718
488	24020	49661
489	24070	49614
490	24110	49545
491	24153	49485
492	24205	49442
493	24250	49383
494	24299	49335
495	24349	49288
496	24401	49244
497	24454	49204
498	24505	49157
499	24552	49105
500	24608	49068
501	24657	49020
502	24707	48973
503	24750	48912
504	24796	48856
505	24848	48813
506	24899	48766
507	24943	48708
508	24992	48658
509	25042	48612
510	25094	48567
511	25140	48512
512	25188	48461
513	25235	48409
514	25285	48361
515	25331	48307
516	25381	48259
517	25431	48212
518	25477	48157
519	25526	48107
520	25578	48064
521	25632	48024
522	25682	47975
523	25729	47923
524	25779	47876
525	25830	47831
526	25880	47784
527	25926	47727
528	25978	47684
529	26029	47638
530	26079	47591
531	26128	47542
532	26179	47497
533	26228	47447
534	26275	47394
535	26326	47348
536	26379	47305
537	26430	47260
538	26481	47214
539	26530	47164
540	26581	47119
541	26634	47076
542	26685	47031
543	26733	46980
544	26786	46938
545	26837	46892
546	26886	46842
547	26934	46790
548	26983	46741
549	27033	46694
550	27080	46641
551	27122	46580
552	27171	46530
553	27220	46481
554	27269	46431
555	27317	46380
556	27366	46331
557	27421	46292
558	27466	46235
559	27516	46188
560	27566	46141
561	27618	46096
562	27665	46043
563	27714	45993
564	27763	45945
565	27814	45898
566	27868	45856
567	27913	45802
568	27965	45757
569	28007	45695
570	28057	45648
571	28108	45602
572	28160	45557
573	28212	45513
574	28262	45466
575	28309	45412
576	28349	45349
577	28394	45293
578	28445	45247
579	28492	45194
580	28543	45148
581	28587	45092
582	28641	45049
583	28686	44994
584	28736	44946
585	28787	44900
586	28830	44842
587	28883	44798
588	28927	44742
589	28976	44692
590	29030	44651
591	29083	44608
592	29129	44553
593	29179	44506
594	29228	44456
595	29274	44402
596	29322	44352
597	29373	44305
598	29414	44243
599	29463	44195
600	29514	44148
601	29562	44098
602	29611	44048
